surveyid,county,region,role,acresha,variable,value
79,Colfax,northeast,Grower,404.686,ha,64.74976
80,,,,,ha,
81,,,Grower,121.4058,ha,121.4058
82,,,,,ha,
83,Bulter,Southeast,Grower,364.2174,ha,121.4058
1,Lancaster,Southeast,Grower,505.8575,perc,44
2,Saunders,Southeast,Grower,485.6232,perc,6.7
3,Madison - Stanton,northeast,Grower,129.49952,perc,68.8
4,Saunders,Southeast,Grower,1011.715,perc,4
5,Cedar,northeast,Grower,283.2802,perc,89.3
6,Colfax,northeast,Grower,809.372,perc,30
7,Saunders,Southeast,Grower,364.2174,perc,50
8,Platte,northeast,Grower,248.88189,perc,54.5
9,nance,northeast,Grower,404.686,perc,30
10,Lancaster,Southeast,Consultant,2023.43,perc,16
11,Saline,Southeast,Grower,404.686,perc,15
12,,,Grower,283.2802,perc,71.4
13,Saunders,Southeast,,182.1087,perc,14.4
14,Colfax - Dodge - Saunders,,Grower,1254.5266,perc,12.9
15,Butler,Southeast,Grower,101.1715,perc,52
16,Madison,northeast,Consultant,1821.087,perc,15.6
17,York,Southeast,Grower,202.343,perc,54
18,Polk,,Grower,242.8116,perc,75
19,Nance,northeast,Agronomist,40468.6,perc,15
20,Polk,Southeast,Grower,1052.1836,perc,53.8
21,nance,northeast,Grower,607.029,perc,6.7
22,Nemaha,,,647.4976,perc,22.5
23,Nemaha,,Grower,1618.744,perc,25
24,Otoe ,Southeast,Grower,364.2174,perc,38.9
25,Madison,northeast,Grower,161.8744,perc,100
26,Stanton,northeast,Grower,202.343,perc,4
27,Lancaster,Southeast,Grower,809.372,perc,7
28,Butler - Polk,Southeast,Grower,8093.72,perc,10
29,Saunders,,Grower,129.49952,perc,25
30,Cass,Southeast,Grower,647.4976,perc,28.1
31,Colfax,northeast,Grower,323.7488,perc,25
32,Colfax,northeast,Grower,728.4348,perc,16.7
33,Saunders,Southeast,Grower,607.029,perc,33.3
34,Cass,Southeast,Grower,566.5604,perc,57.1
35,Merrick,northeast,Grower,2023.43,perc,30
36,Clay,Southeast,Grower,3844.517,perc,26.3
37,Chase,,Consultant,12140.58,perc,25
38,Saunders,Southeast,Grower,728.4348,perc,7.2
39,Butler,Southeast,Grower,1173.5894,perc,10.3
40,Saunders,Southeast,Grower,1052.1836,perc,13.1
41,Colfax,northeast,Grower,404.686,perc,50
42,Kearney,West Central,Consultant,3237.488,perc,7.5
43,Saunders,Southeast,Grower,0,perc,
44,Butler,Southeast,Grower,607.029,perc,14
45,Merrick,northeast,Grower,607.029,perc,13.3
46,Saunders,Southeast,Grower,546.3261,perc,14.8
47,Clay,Southeast,Other ,,perc,
48,Butler,Southeast,Grower,80.9372,perc,100
49,Dodge,Southeast,Grower,445.1546,perc,6.4
50,Merrick,Southeast,Grower,485.6232,perc,13.3
51,Hamilton,Southeast,Grower,,perc,
52,Washington,Southeast,Grower,263.0459,perc,12.3
53,Butler,Southeast,Grower,607.029,perc,66.7
54,Butler,Southeast,Grower,728.4348,perc,66.7
55,nance,northeast,Grower,343.9831,perc,20
56,Butler,Southeast,Grower,2023.43,perc,46
57,Seward,Southeast,Grower,161.8744,perc,40
58,Cass,Southeast,Grower,404.686,perc,10
59,Washington,Southeast,Grower,485.6232,perc,8.3
60,Butler,Southeast,Grower,56.65604,perc,35.7
61,Dodge,Southeast,Grower,437.06088,perc,31.5
62,Sherman,northeast,Grower,121.4058,perc,25
63,Cuming,northeast,Consultant,40468.6,perc,2.5
64,Douglas,na,Grower,1537.8068,perc,28.9
65,Boyd,,Consultant,2023.43,perc,30
66,Seward,Southeast,Grower,728.4348,perc,44.4
67,Seward,Southeast,Industry,32.37488,perc,15
68,Lancaster,Southeast,Grower,242.8116,perc,16.7
69,Richardson,,Grower,687.9662,perc,100
70,Sarpy,Southeast,Other,323.7488,perc,20
71,Cass,Southeast,Grower,,perc,
72,Adams,Southeast,Other,,perc,
73,Dodge,Southeast,Grower,,perc,
74,Saunders,Southeast,Grower,,perc,
75,Saunders,Southeast,Grower,,perc,
76,Seward,Southeast,Grower,,perc,
77,Bulter,Southeast,Grower,1416.401,perc,20
78,Saunders,Southeast,Grower,182.1087,perc,33.3
79,Colfax,northeast,Grower,404.686,perc,16
80,,,,,perc,
81,,,Grower,121.4058,perc,100
82,,,,,perc,
83,Bulter,Southeast,Grower,364.2174,perc,33.3
